#ID,Chapter Name,Chapter No,Board,Class,Subject,Series,Image,Position,Status,Action
3859,Chapter 4. Fractions,4,ICSE,Class 5,Mathematics,Foundation Mathematics (2023-24),,4,Active,
3860,Chapter 4. Subtraction,4,CBSE,Class 3,Mathematics,Mathematics Success,,4,Active,
3861,Chapter 4. Tables in Word 2016,4,CBSE,Class 6,Computer Science,Computer Science Success,,4,Active,
3862,Chapter 4. The Verb  Kinds Of Verbs,4,CBSE,Class 4,English,Elementary English Grammar and Composition,,4,Active,
3863,Chapter 4. A Perfect Shelter,4,CBSE,Class 4,Environmental Studies,Blue Planet (2023-24),,4,Active,
3864,Chapter 4. A Perfect Shelter,4,CBSE,Class 4,Environmental Studies,Blue Planet,,4,Active,
3865,Chapter 4. Absorption by Roots,4,ICSE,Class 10,Biology,A New Approach to ICSE Biology,,4,Active,
3866,Chapter 4. Adaptations In Animals,4,CBSE,Class 4,Science,Science Success (2023-24),,4,Active,
3867,Chapter 4. Advanced Features of Excel 2016,4,CBSE,Class 7,Computer Science,Computer Science Success,,4,Active,
3868,Chapter 4. Advanced Features of MS Excel,4,ICSE,Class 8,Computer Science,My Book of Computer Studies,,4,Active,
3869,"Chapter 4. Aids, Bases and Salts",4,CBSE,Class 7,Science,Learning Elementary Science (For Acad. Year 2023-24),,4,Active,
3870,Chapter 4. Air Around Us,4,CBSE,Class 5,Science,Learning Elementary Science,,4,Active,
3871,Chapter 4. An Ideal Home,4,CBSE,Class 3,Environmental Studies,Blue Planet (2023-24),,4,Active,
3872,Chapter 4. Animals Our Friends,4,CBSE,Class 2,Science,Science Success,,4,Active,
3873,Chapter 4. Arrangement and Formatting of Text in MS Word 2016,4,CBSE,Class 3,Computer Science,Computer Science Success,,4,Active,
3874,Chapter 4. Atomic Structure,4,ICSE,Class 8,Chemistry,Learning Elementary Chemistry,,4,Active,
3875,Chapter 4. Atomic Structure and Chemical Bonding,4,ICSE,Class 9,Chemistry,A New Approach to I.C.S.E. Chemistry (2023-24),,4,Active,
3876,Chapter 4. Carbon and Its Compounds,4,CBSE,Class 10,Science,Gateway to Science Chemistry,,4,Active,
3877,Chapter 4. Climate,4,CBSE,Class 9,Geography,NCQRT Geography,,4,Active,
3878,Chapter 4. Climate of India,4,ICSE,Class 10,Geography,A Textbook of Geography (2023-24),,4,Active,
3879,Chapter 4. Colonialism and Triabal Societies,4,CBSE,Class 8,Social Science,A Text Book of Social Sciences,,4,Active,
3880,Chapter 4. Combustion and Flame,4,CBSE,Class 8,Science,Learning Elementary Science (For Acad. Year 2023-24),,4,Active,
3881,Chapter 4. Computer Viruses and their Effects,4,ICSE,Class 7,Computer Science,My Book of Computer Studies,,4,Active,
3882,Chapter 4. Creating Tables in MS Word,4,ICSE,Class 6,Computer Science,My Book of Computer Studies,,4,Active,
3883,Chapter 4. Cubes and Cube Roots,4,CBSE,Class 8,Mathematics,Exploring Mathematics,,4,Active,
3884,Chapter 4. Data Merging,4,CBSE,Class 10,Data Science,A text Book of Data Science,,4,Active,
3885,Chapter 4. Data Science And AI,4,CBSE,Class 8,Data Science,A text Book of Data Science,,4,Active,
3886,Chapter 4. Digestive System,4,ICSE,Class 6,Biology,Learning Elementary Biology,,4,Active,
3887,Chapter 4. Division,4,CBSE,Class 4,Mathematics,Exploring Mathematics,,4,Active,
3888,Chapter 4. Division,4,CBSE,Class 4,Mathematics,Mathematics Success,,4,Active,
3889,Chapter 4. Editing a Worksheet,4,CBSE,Class 6,Computer Science,Fun with Linux,,4,Active,
3890,Chapter 4. Edubuntu,4,CBSE,Class 3,Computer Science,Fun with Linux,,4,Active,
3891,Chapter 4. Endocrine System,4,ICSE,Class 8,Biology,Learning Elementary Biology,,4,Active,
3892,Chapter 4. Energy,4,ICSE,Class 6,Physics,Learning Elementary Physics,,4,Active,
3893,Chapter 4. Factors and Multiples,4,CBSE,Class 5,Mathematics,Exploring Mathematics,,4,Active,
3894,Chapter 4. Flotation,4,CBSE,Class 9,Science,Gateway to Science Physics,,4,Active,
3895,Chapter 4. Food for Health,4,CBSE,Class 2,Environmental Studies,Blue Planet,,4,Active,
3896,Chapter 4. Food Habits of Animals,4,CBSE,Class 3,Science,Learning Elementary Science,,4,Active,
3897,Chapter 4. Food Security in india,4,CBSE,Class 9,Economics,NCQRT Economics,,4,Active,
3898,Chapter 4. Forest Society And Colonialism,4,CBSE,Class 9,History,NCQRT History,,4,Active,
3899,Chapter 4. Formatting Documents in Open Office Writer,4,CBSE,Class 4,Computer Science,Fun with Linux,,4,Active,
3900,Chapter 4. Fractions,4,ICSE,Class 6,Mathematics,Foundation Mathematics,,4,Active,
3901,Chapter 4. Fractions,4,ICSE,Class 6,Mathematics,Foundation Mathematics,,4,Active,
3902,Chapter 4. Fractions,4,ICSE,Class 6,Mathematics,Foundation Mathematics (2023-24),,4,Active,
3903,Chapter 4. Fractions,4,CBSE,Class 5,Mathematics,Mathematics Success,,4,Active,
3904,Chapter 4. Getting to Know Plants,4,CBSE,Class 6,Science,Learning Elementary Science (For Acad. Year 2023-24),,4,Active,
3905,Chapter 4. Graphics in QBASIC,4,CBSE,Class 8,Computer Science,Computer Science Success,,4,Active,
3906,Chapter 4. Heat,4,CBSE,Class 7,Science,Science Success,,4,Active,
3907,Chapter 4. Heat Flow and Temperature,4,CBSE,Class 7,Science,Learning Elementary Science,,4,Active,
3908,Chapter 4. Human Body: A Living Wonder,4,CBSE,Class 3,Science,Science Success (2023-24),,4,Active,
3909,Chapter 4. Human Nervous System,4,CBSE,Class 5,Science,Science Success (2023-24),,4,Active,
3910,Chapter 4. Introduction to HTML,4,CBSE,Class 8,Computer Science,Fun with Linux,,4,Active,
3911,Chapter 4. Introduction to MS Excel 2016,4,CBSE,Class 5,Computer Science,Computer Science Success,,4,Active,
3912,Chapter 4. Introduction to Open Office Impress,4,CBSE,Class 5,Computer Science,Fun with Linux,,4,Active,
3913,Chapter 4. Keyboard  Special Keys,4,ICSE,Class 2,Computer Science,My Book of Computer Studies,,4,Active,
3914,Chapter 4. Keyboard and Its Keys,4,CBSE,Class 1,Computer Science,Computer Science Success,,4,Active,
3915,Chapter 4. Keyboard and Its Keys,4,CBSE,Class 1,Computer Science,Fun with Linux,,4,Active,
3916,Chapter 4. Land of Dense Forests,4,CBSE,Class 5,Social Studies,Social Studies Success (2023-24),,4,Active,
3917,Chapter 4. Linear Equations In Two Variables,4,CBSE,Class 9,Mathematics,NCERT Mathematics,,4,Active,
3918,Chapter 4. Magnetic Effects of Electric Current,4,CBSE,Class 10,Science,Gateway to Science Physics,,4,Active,
3919,Chapter 4. Materials: Metals and Non metals,4,CBSE,Class 8,Science,Learning Elementary Science,,4,Active,
3920,Chapter 4. Matter,4,CBSE,Class 4,Science,Science Success,,4,Active,
3921,Chapter 4. Metals and Non metals,4,CBSE,Class 8,Science,Science Success,,4,Active,
3922,Chapter 4. More on BASIC–256,4,CBSE,Class 7,Computer Science,Fun with Linux,,4,Active,
3923,Chapter 4. More on Word Processor,4,ICSE,Class 4,Computer Science,My Book of Computer Studies,,4,Active,
3924,Chapter 4. More on Word Processor,4,ICSE,Class 5,Computer Science,My Book of Computer Studies,,4,Active,
3925,Chapter 4. Multiplication,4,ICSE,Class 3,Mathematics,Foundation Mathematics,,4,Active,
3926,Chapter 4. Multiplication,4,CBSE,Class 3,Mathematics,Exploring Mathematics,,4,Active,
3927,Chapter 4. Multiplication,4,CBSE,Class 2,Mathematics,Mathematics Success,,4,Active,
3928,Chapter 4. Multiplication,4,ICSE,Class 3,Mathematics,Foundation Mathematics (2023-24),,4,Active,
3929,Chapter 4. Multiplication,4,CBSE,Class 3,Mathematics,Star Maths,,4,Active,
3930,Chapter 4. Multiplication,4,CBSE,Class 4,Mathematics,Star Maths,,4,Active,
3931,Chapter 4. Multiplication,4,CBSE,Class 5,Mathematics,Star Maths,,4,Active,
3932,Chapter 4. Multiplication,4,CBSE,Class 2,Mathematics,Star Maths,,4,Active,
3933,Chapter 4. My Food Habits,4,CBSE,Class 1,Environmental Studies,Blue Planet,,4,Active,
3934,Chapter 4. Names of Places,4,CBSE,Class 1,English,Elementary English Grammar and Composition,,4,Active,
3935,Chapter 4. Negative Numbers and integers,4,CBSE,Class 6,Mathematics,Exploring Mathematics,,4,Active,
3936,Chapter 4. Nouns: Number,4,CBSE,Class 6,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,4,Active,
3937,Chapter 4. Numbers up to 1000,4,CBSE,Class 2,Mathematics,Exploring Mathematics,,4,Active,
3938,Chapter 4. Numbers up to 20,4,CBSE,Class 1,Mathematics,Mathematics Success,,4,Active,
3939,Chapter 4. Ordering,4,CBSE,Class 1,General Aptitude,Know Your Aptitude,,4,Active,
3940,Chapter 4. Ordering,4,CBSE,Class 2,General Aptitude,Know Your Aptitude,,4,Active,
3941,Chapter 4. Plants as Food,4,CBSE,Class 1,Science,Learning Elementary Science (For Acad. Year 2023-24),,4,Active,
3942,Chapter 4. Plants Give Us Food,4,CBSE,Class 1,Science,Science Success,,4,Active,
3943,Chapter 4. Playing with Numbers,4,ICSE,Class 8,Mathematics,Foundation Mathematics (2023-24),,4,Active,
3944,Chapter 4. Practical Approach To Data Visualization,4,CBSE,Class 9,Data Science,A text Book of Data Science,,4,Active,
3945,Chapter 4. Pressure in Fluids,4,ICSE,Class 9,Physics,A New Approach to I.C.S.E. Physics (2023-24),,4,Active,
3946,Chapter 4. Quadratic Equations,4,CBSE,Class 10,Mathematics,NCQRT Mathematics,,4,Active,
3947,Chapter 4. Quadratic Equations,4,CBSE,Class 10,Mathematics,NCERT Mathematics,,4,Active,
3948,Chapter 4. Rational Numbers,4,CBSE,Class 7,Mathematics,Exploring Mathematics,,4,Active,
3949,Chapter 4. Rational Numbers,4,ICSE,Class 7,Mathematics,Foundation Mathematics (2023-24),,4,Active,
3950,Chapter 4. Reproduction in Animals,4,CBSE,Class 4,Science,Learning Elementary Science,,4,Active,
3951,Chapter 4. Respiration,4,ICSE,Class 7,Biology,Learning Elementary Biology,,4,Active,
3952,Chapter 4. Safety First,4,CBSE,Class 5,Environmental Studies,Blue Planet,,4,Active,
3953,Chapter 4. Soil,4,CBSE,Class 3,Science,Science Success,,4,Active,
3954,"Chapter 4. Solids, Liquids and Gases",4,CBSE,Class 5,Science,Science Success,,4,Active,
3955,Chapter 4. Sorting Materials into Groups,4,CBSE,Class 6,Science,Science Success,,4,Active,
3956,Chapter 4. Sorting Materials into Groups,4,CBSE,Class 6,Science,Learning Elementary Science,,4,Active,
3957,Chapter 4. Starting and Shutting Down a Computer,4,CBSE,Class 2,Computer Science,Fun with Linux,,4,Active,
3958,Chapter 4. Structure of The Atom,4,CBSE,Class 9,Science,NCQRT Science,,4,Active,
3959,Chapter 4. Subtraction,4,CBSE,Class 1,Mathematics,Star Maths,,4,Active,
3960,Chapter 4. The Age of Industrialisation,4,CBSE,Class 10,History,NCQRT History,,4,Active,
3961,Chapter 4. The Coconut Tree,4,CBSE,Class 1,English,Get Smart A Multi-skill English Course,,4,Active,
3962,Chapter 4. The Delhi Sultanate (AD 1206  1526),4,CBSE,Class 7,Social Science,A Text Book of Social Sciences,,4,Active,
3963,Chapter 4. The First Cities : The Harappan Civilisation,4,CBSE,Class 6,Social Science,A Text Book of Social Sciences,,4,Active,
3964,Chapter 4. The Flower,4,ICSE,Class 9,Biology,A New Approach to I.C.S.E. Biology (2023-24),,4,Active,
3965,Chapter 4. The Verb,4,CBSE,Class 3,English,Elementary English Grammar and Composition,,4,Active,
3966,Chapter 4. Trapped in Toy World,4,CBSE,Class 2,English,Get Smart A Multi-skill English Course,,4,Active,
3967,Chapter 4. Using a Computer,4,CBSE,Class 2,Computer Science,Computer Science Success,,4,Active,
3968,Chapter 4. Vegetable Mart,4,CBSE,Class 1,General Knowledge,General Knowledge Times (2023-24),,4,Active,
3969,Chapter 4. Verbs: Expressing the Future,4,CBSE,Class 8,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,4,Active,
3970,Chapter 4. Wild Animals,4,CBSE,Class 2,Science,Learning Elementary Science,,4,Active,
3971,Chapter 4. Wild Animals,4,CBSE,Class 2,Science,Learning Elementary Science (For Acad. Year 2023-24),,4,Active,
3972,Chapter 4. Windows 10 Control Panel,4,CBSE,Class 4,Computer Science,Computer Science Success,,4,Active,
3973,Chapter 4. Word Processor An Introduction,4,ICSE,Class 3,Computer Science,My Book of Computer Studies,,4,Active,
3974,Chapter 4. World of Birds,4,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,4,Active,
3975,Chapter 4. इ और ई की मात्राएँ,4,CBSE,Class 1,Hindi,Bal Bhasha Bharti,,4,Active,
3976,Chapter 4. ईमानदार बालक,4,CBSE,Class 6,Hindi,Nootan Saral Hindi Mala,,4,Active,
3977,Chapter 4. दीपदान,4,CBSE,Class 7,Hindi,Nootan Saral Hindi Mala,,4,Active,
3978,Chapter 4. पैसों का पेड़,4,CBSE,Class 8,Hindi,Nootan Saral Hindi Mala,,4,Active,
3979,Chapter 4. वीर मालव जी,4,CBSE,Class 5,Hindi,Nootan Saral Hindi Mala,,4,Active,
3980,Chapter 4.Knowing Your Body,4,CBSE,Class 1,Science,Learning Elementary Science,,4,Active,
3981,Chapter 4.इंद्रधनुष,4,CBSE,Class 5,Hindi,Bal Bhasha Bharti,,4,Active,
3982,Chapter 4.काम की बातें,4,CBSE,Class 4,Hindi,Bal Bhasha Bharti,,4,Active,
3983,Chapter 4.काला कौआ,4,CBSE,Class 3,Hindi,Bal Bhasha Bharti,,4,Active,
3984,Chapter 4.राखी का त्योहार,4,CBSE,Class 2,Hindi,Bal Bhasha Bharti,,4,Active,
3985,Chapter 40 : Dances of the World,9,CBSE,Class 3,General Knowledge,General Knowledge Times (2023-24),,9,Active,
3986,Chapter 40 The Musical World,9,CBSE,Class 7,General Knowledge,General Knowledge Times (2023-24),,9,Active,
3987,Chapter 40. Animated Movies We Love,40,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,40,Active,
3988,Chapter 41 : Olympics Events,10,CBSE,Class 3,General Knowledge,General Knowledge Times (2023-24),,10,Active,
3989,Chapter 41 Different Games,10,CBSE,Class 7,General Knowledge,General Knowledge Times (2023-24),,10,Active,
3990,Chapter 41. Music for You,41,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,41,Active,
3991,Chapter 42. Memory Game 1,42,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,42,Active,
3992,Chapter 43 : Winter Paralymics 2022,9,CBSE,Class 6,General Knowledge,General Knowledge Times (2023-24),,9,Active,
3993,Chapter 43 Art Forms,11,CBSE,Class 7,General Knowledge,General Knowledge Times (2023-24),,11,Active,
3994,Chapter 43. Memory Game 2,43,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,43,Active,
3995,Chapter 44 : The Sun's Family,11,CBSE,Class 3,General Knowledge,General Knowledge Times (2023-24),,11,Active,
3996,Chapter 44. Quiz 1,44,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,44,Active,
3997,Chapter 45. Quiz 2,45,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,45,Active,
3998,Chapter 46 : Martial Arts in India,10,CBSE,Class 6,General Knowledge,General Knowledge Times (2023-24),,10,Active,
3999,Chapter 46. Amazing Facts,46,CBSE,Class 2,General Knowledge,General Knowledge Times (2023-24),,46,Active,
4000,Chapter 49 : Indian Research Stations in Antarctica,11,CBSE,Class 6,General Knowledge,General Knowledge Times (2023-24),,11,Active,
4001,Chapter 5  शब्द विचार,5,CBSE,Class 8,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,5,Active,
4002,Chapter 5 Division,5,ICSE,Class 2,Mathematics,Foundation Mathematics,,5,Active,
4003,Chapter 5 Division,5,ICSE,Class 3,Mathematics,Foundation Mathematics,,5,Active,
4004,Chapter 5 Division,5,ICSE,Class 3,Mathematics,Foundation Mathematics (2023-24),,5,Active,
4005,Chapter 5 More About Subtraction,5,ICSE,Class 1,Mathematics,Foundation Mathematics,,5,Active,
4006,Chapter 5 People Who Help Us,5,ICSE,Class 3,Social Studies,Essential Social Studies for (2023-24),,5,Active,
4007,Chapter 5 उ और ऊ,5,CBSE,Class 1,Hindi,Nootan Saral Hindi Mala,,1,Active,
4008,Chapter 5 लिंग,5,CBSE,Class 3,Hindi,Naveen Hindi Vyavaharik Vyakaran Tatha Rachna,,5,Active,
4009,Chapter 5 : A Good House,5,CBSE,Class 2,Social Studies,Social Studies Success,,1,Active,
4010,Chapter 5 : Exponents,5,ICSE,Class 7,Mathematics,Foundation Mathematics,,5,Active,
4011,Chapter 5 : Famous Gardens in India,4,CBSE,Class 4,General Knowledge,General Knowledge Times (2023-24),,4,Active,
4012,Chapter 5 : Food,5,CBSE,Class 1,Social Studies,Social Studies Success,,1,Active,
4013,Chapter 5 : Food We Eat,5,CBSE,Class 3,Social Studies,Social Studies Success,,1,Active,
4014,Chapter 5 : Forts of India,2,CBSE,Class 3,General Knowledge,General Knowledge Times (2023-24),,2,Active,
4015,Chapter 5 : Greenland : The Land of Snow,5,CBSE,Class 5,Social Studies,Social Studies Success,,1,Active,
4016,Chapter 5 : Handicrafts of West India,3,CBSE,Class 7,General Knowledge,General Knowledge Times (2023-24),,3,Active,
4017,Chapter 5 : Heat,5,ICSE,Class 7,Physics,Learning Elementary Physics,,1,Active,
4018,Chapter 5 : Light Energy,5,ICSE,Class 8,Physics,Learning Elementary Physics,,1,Active,
4019,Chapter 5 : Quadratic Equations,5,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,5,Active,
4020,Chapter 5 : Sets,5,ICSE,Class 8,Mathematics,Foundation Mathematics,,5,Active,
4021,Chapter 5 : Simultaneous Linear Equations,5,ICSE,Class 9,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,5,Active,
4022,Chapter 5 : The Southern Plateaus,5,CBSE,Class 4,Social Studies,Social Studies Success,,1,Active,
4023,Chapter 5 : Work and Energy,5,ICSE,Class 9,Science,Gateway to Science Physics,,5,Active,
4024,Chapter 5 A Good House,5,CBSE,Class 2,Social Studies,Social Studies Success (2023-24),,5,Active,
4025,"Chapter 5 Acids, Bases and Salts",5,CBSE,Class 7,Science,NCERT Science,,5,Active,
4026,Chapter 5 Adapation in Plants,5,ICSE,Class 4,Science,Essential Science (2023-24),,5,Active,
4027,Chapter 5 Adapation in Plants,5,ICSE,Class 4,Science,Essential Science,,5,Active,
4028,Chapter 5 Addition and Subtraction of 3 digit Numbers,5,CBSE,Class 2,Mathematics,Progress in Mathematics,,5,Active,
4029,Chapter 5 Addition and Subtraction of Numbers up to 20,5,CBSE,Class 1,Mathematics,Progress in Mathematics,,5,Active,
4030,Chapter 5 Addition and Subtraction up to 20,5,CBSE,Class 1,Mathematics,Mathematics Success (2023-24),,5,Active,
4031,Chapter 5 Advanced Sequencing,5,CBSE,Class 8,Coding,Fun with Coding,,5,Active,
4032,Chapter 5 Air and Atmosphere,5,ICSE,Class 6,Chemistry,Learning Elementary Chemistry,,5,Active,
4033,Chapter 5 Algebraic Expressions,5,CBSE,Class 8,Mathematics,Mathematics Success (2023-24),,5,Active,
4034,Chapter 5 Arithmetic Progression,5,CBSE,Class 10,Mathematics,A Complete Course in Mathematics,,5,Active,
4035,Chapter 5 Being a Special Person,5,CBSE,Class 1,Moral Science,The Mirror of Values,,5,Active,
4036,Chapter 5 Body Movements,5,CBSE,Class 6,Science,Science Success (2023-24),,5,Active,
4037,Chapter 5 Campaign to Get Certain Noises Allowed,5,CBSE,Class 8,English,Stepping Stones,,5,Active,
4038,Chapter 5 Chicken Licken,5,CBSE,Class 2,English,Stepping Stones,,5,Active,
4039,Chapter 5 Coal And Petroleum,5,CBSE,Class 8,Science,NCERT Science,,5,Active,
4040,Chapter 5 Conservation of Plants and Animals,5,CBSE,Class 8,Science,Science Success (2023-24),,5,Active,
4041,Chapter 5 Data Handling,5,CBSE,Class 8,Mathematics,NCERT Mathematics,,5,Active,
4042,Chapter 5 Days of Celebration—Pongal,5,CBSE,Class 3,English,Get Smart A Multi-skill English Course,,5,Active,
4043,Chapter 5 Decimals,5,CBSE,Class 5,Mathematics,Mathematics Success (2023-24),,5,Active,
4044,Chapter 5 Determiners,5,CBSE,Class 7,English,Elementary English Grammar and Composition,,1,Active,
4045,Chapter 5 Division,5,CBSE,Class 3,Mathematics,Mathematics Success (2023-24),,5,Active,
4046,Chapter 5 Division,5,ICSE,Class 2,Mathematics,Foundation Mathematics (2023-24),,5,Active,
4047,Chapter 5 Division,5,CBSE,Class 3,Mathematics,Progress in Mathematics,,5,Active,
4048,Chapter 5 Don’t Be Lazy,5,CBSE,Class 3,Moral Science,The Mirror of Values,,5,Active,
4049,Chapter 5 Eat Right Feel Right,5,CBSE,Class 5,Environmental Studies,Blue Planet (2023-24),,5,Active,
4050,Chapter 5 Excretory System,5,ICSE,Class 7,Science,Learning Elementary Biology (2023-24),,5,Active,
4051,Chapter 5 Exponents,5,CBSE,Class 7,Mathematics,Mathematics Success (2023-24),,5,Active,
4052,Chapter 5 Exponents,5,CBSE,Class 7,Mathematics,Mathematics Success,,5,Active,
4053,Chapter 5 Exponents and Powers,5,CBSE,Class 7,Mathematics,Progress in Mathematics,,5,Active,
4054,Chapter 5 Factors and Multiples,5,CBSE,Class 4,Mathematics,Progress in Mathematics,,5,Active,
4055,Chapter 5 Family,5,CBSE,Class 3,Social Studies,Illustrative Social Studies,,1,Inactive,
4056,Chapter 5 Features of MS Word,5,CBSE,Class 5,Computer Science,Enter  A Complete Course in Computer Science,,5,Active,
4057,Chapter 5 Food,5,CBSE,Class 1,Social Studies,Social Studies Success (2023-24),,5,Active,
4058,Chapter 5 Food and Digestion,5,CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),,5,Active,
4059,Chapter 5 Food and Digestion,5,CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),,5,Active,
4060,Chapter 5 Food Habits of Animals,5,CBSE,Class 3,Science,Learning Elementary Science (For Acad. Year 2023-24),,5,Active,
4061,Chapter 5 Food We Eat,5,CBSE,Class 3,Social Studies,Social Studies Success (2023-24),,5,Active,
4062,Chapter 5 Fraction,5,CBSE,Class 5,Mathematics,Progress in Mathematics,,5,Active,
4063,Chapter 5 Fractions,5,CBSE,Class 6,Mathematics,Progress in Mathematics,,5,Active,
4064,Chapter 5 Fractions,5,CBSE,Class 6,Mathematics,Mathematics Success (2023-24),,5,Active,
4065,Chapter 5 Fractions,5,CBSE,Class 6,Mathematics,Mathematics Success,,5,Active,
4066,Chapter 5 Fundamental Rights and Duties,5,ICSE,Class 5,Social Studies,Essential Social Studies for (2023-24),,5,Active,
4067,Chapter 5 Going To School,5,CBSE,Class 1,English,Stepping Stones,,5,Active,
4068,Chapter 5 Graphics in QBASIC,5,CBSE,Class 7,Computer Science,Enter  A Complete Course in Computer Science,,5,Active,
4069,Chapter 5 Greenland  The Land of ice and Snow,5,CBSE,Class 5,Social Studies,Social Studies  for Juniors,,5,Active,
4070,Chapter 5 He or She,5,CBSE,Class 1,English Grammar,Step up English Grammar and Composition (For Acad. Year 2023-24),,5,Active,
4071,Chapter 5 Heat,5,ICSE,Class 7,Science,Learning Elementary Physics (2023-24),,5,Active,
4072,Chapter 5 Helen of Toy,5,CBSE,Class 4,English,Stepping Stones,,5,Active,
4073,Chapter 5 Home Sweet Home,5,CBSE,Class 1,Environmental Studies,Blue Planet (2023-24),,5,Active,
4074,Chapter 5 House,5,CBSE,Class 2,Social Studies,Social Studies  for Juniors,,5,Active,
4075,Chapter 5 Houses and Houses,5,CBSE,Class 2,Environmental Studies,Blue Planet (2023-24),,5,Active,
4076,Chapter 5 HTML,5,CBSE,Class 8,Computer Science,Exploring Computer Science,,5,Active,
4077,Chapter 5 Human Body,5,CBSE,Class 1,Science,Illustrative Science,,5,Active,
4078,Chapter 5 Human Body,5,CBSE,Class 1,Science,Science Success (2023-24),,5,Active,
4079,Chapter 5 Human Body,5,CBSE,Class 2,Science,Science Success (2023-24),,5,Active,
4080,Chapter 5 Human Skeletal System,5,CBSE,Class 5,Science,Learning Elementary Science (For Acad. Year 2023-24),,5,Active,
4081,Chapter 5 In Our Surrounding,5,CBSE,Class 2,General Knowledge,General Knowledge Times,,5,Active,
4082,Chapter 5 In Our Surroundings,5,CBSE,Class 1,General Knowledge,General Knowledge Times,,5,Active,
4083,Chapter 5 In Our Surroundings,5,CBSE,Class 3,General Knowledge,General Knowledge Times,,5,Active,
4084,Chapter 5 In Our Surroundings,5,CBSE,Class 4,General Knowledge,General Knowledge Times,,5,Active,
4085,Chapter 5 Industries,5,ICSE,Class 7,Geography,A Textbook of Geography (2023-24),,5,Active,
4086,Chapter 5 introduction To Euclid,5,CBSE,Class 9,Mathematics,NCQRT Mathematics,,5,Active,
4087,Chapter 5 Introduction to Euclid's Geometry,5,CBSE,Class 9,Mathematics,A Complete Course in Mathematics,,5,Active,
4088,Chapter 5 Introduction To Ms Excel 2003,5,CBSE,Class 6,Computer Science,Online with Computer,,5,Active,
4089,Chapter 5 Introduction to MS Excel,5,CBSE,Class 6,Computer Science,Enter  A Complete Course in Computer Science,,5,Active,
4090,Chapter 5 Introduction to programming language,5,CBSE,Class 7,Coding,Fun with Coding,,5,Active,
4091,Chapter 5 Introduction to QBASIC,5,CBSE,Class 7,Computer Science,Exploring Computer Science,,5,Active,
4092,Chapter 5 Introduction to QBASIC,5,CBSE,Class 7,Computer Science,Desktop My Book of Computer Science,,5,Active,
4093,Chapter 5 Introduction to WordPad,5,CBSE,Class 3,Computer Science,Enter  A Complete Course in Computer Science,,5,Active,
4094,Chapter 5 Know about Keyboard,5,CBSE,Class 2,Computer Science,Enter  A Complete Course in Computer Science,,5,Active,
4095,Chapter 5 Landforms Of The Earth,5,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,5,Active,
4096,Chapter 5 Language of Chemistry,5,ICSE,Class 8,Chemistry,Learning Elementary Chemistry,,5,Active,
4097,Chapter 5 Letters Of The Alphabet,5,CBSE,Class 1,Computer Science,Online with Computer,,5,Active,
4098,Chapter 5 Life Processes,5,CBSE,Class 10,Science,NCQRT Science,,5,Active,
4099,Chapter 5 Life Skills,5,CBSE,Class 5,General Knowledge,General Knowledge Times,,5,Active,
4100,Chapter 5 Life Skills,5,CBSE,Class 6,General Knowledge,General Knowledge Times,,5,Active,
4101,Chapter 5 Life Skills,5,CBSE,Class 7,General Knowledge,General Knowledge Times,,5,Active,
4102,Chapter 5 Life Skills,5,CBSE,Class 8,General Knowledge,General Knowledge Times,,5,Active,
4103,Chapter 5 Light,5,ICSE,Class 6,Science,Learning Elementary Physics (2023-24),,5,Active,
4104,Chapter 5 Light,5,ICSE,Class 8,Science,Learning Elementary Physics (2023-24),,5,Active,
4105,Chapter 5 Lines and Angles,5,CBSE,Class 7,Mathematics,NCERT Mathematics,,5,Active,
4106,Chapter 5 Logical Sequence of Words,5,CBSE,Class 6,General Aptitude,Know Your Aptitude,,5,Active,
4107,Chapter 5 Loops using block coding,5,CBSE,Class 6,Coding,Fun with Coding,,5,Active,
4108,Chapter 5 Minerals,5,ICSE,Class 6,Geography,A Textbook of Geography (2023-24),,5,Active,
4109,Chapter 5 Mole Concept And Stoichiometry,5,ICSE,Class 10,Chemistry,A New Approach to I.C.S.E. Chemistry,,5,Active,
4110,Chapter 5 Mole Concept And Stoichiometry,5,ICSE,Class 10,Chemistry,A New Approach to I.C.S.E. Chemistry (2023-24),,5,Active,
4111,Chapter 5 Mother’s Love Has no Equal,5,CBSE,Class 4,Moral Science,The Mirror of Values,,5,Active,
4112,Chapter 5 Motions of the Earth,5,ICSE,Class 4,Social Studies,Essential Social Studies for (2023-24),,5,Active,
